condition,neuron_index,rate_hz
A,0,10.62124252319336
A,1,10.62124252319336
A,2,10.62124252319336
A,3,10.62124252319336
A,4,10.62124252319336
A,5,0.0
A,6,0.0
A,7,0.0
A,8,0.0
A,9,0.0
B,0,10.62124252319336
B,1,10.62124252319336
B,2,10.62124252319336
B,3,10.62124252319336
B,4,10.62124252319336
B,5,10.62124252319336
B,6,10.62124252319336
B,7,10.62124252319336
B,8,10.62124252319336
B,9,10.62124252319336
C,0,10.62124252319336
C,1,10.62124252319336
C,2,10.62124252319336
C,3,10.62124252319336
C,4,10.62124252319336
C,5,10.62124252319336
C,6,10.62124252319336
C,7,10.62124252319336
C,8,10.62124252319336
C,9,10.62124252319336
